Date,Open,High,Low,Close ,Volume,RULE 1,RULE 2 ,TP,RULE 3,CLASSIFIER
"Feb 18, 2025","22,963.65","22,992.50","22,801.50","22,945.30","2,10,600",0,1,22913.1,0,0
"Feb 17, 2025","22,809.90","22,974.20","22,725.45","22,959.50","2,07,400",1,0,22886.38333,0,0
"Feb 14, 2025","23,096.45","23,133.70","22,774.85","22,929.25","2,54,500",0,1,22945.93333,1,1
"Feb 13, 2025","23,055.75","23,235.50","22,992.20","23,031.40","2,65,700",0,0,23086.36667,1,0
"Feb 12, 2025","23,050.80","23,144.70","23,144.70","22,798.35","23,045.25",0,0,23029.25,0,0
"Feb 11, 2025","23,383.55","23,390.05","22,986.65","23,071.80","2,68,000",0,1,23149.5,1,1
"Feb 10, 2025","23,543.80","23,568.60","23,316.30","23,381.60","2,34,200",0,1,23422.16667,1,1
"Feb 7, 2025","23,649.50","23,694.50","23,443.20","23,559.95","3,68,100",0,1,23565.88333,1,1
"Feb 6, 2025","23,761.95","23,773.55","23,556.25","23,603.35","3,07,000",0,1,23644.38333,1,1
"Feb 5, 2025","23,801.75","23,807.30","23,680.45","23,696.30","2,67,000",0,1,23728.01667,1,1
"Feb 4, 2025","23,509.90","23,762.75","23,423.15","23,739.25","3,76,700",1,0,23641.71667,0,0
"Feb 3, 2025","23,319.35","23,381.60","23,222.00","23,361.05","3,29,700",1,1,23321.55,0,1
"Jan 31, 2025","23,296.75","23,546.80","23,277.40","23,508.40","3,04,900",1,0,23444.2,1,1
"Jan 30, 2025","23,169.50","23,322.05","23,139.20","23,249.50","3,61,900",1,0,23236.91667,0,0
"Jan 29, 2025","23,026.75","23,183.35","22,976.50","23,163.10","2,26,300",1,0,23107.65,0,0
"Jan 28, 2025","22,960.45","23,137.95","22,857.65","22,957.25","3,61,900",0,0,22984.28333,0,0
"Jan 27, 2025","22,940.15","23,007.45","22,786.90","22,829.15","2,57,400",0,1,22874.5,0,0
"Jan 24, 2025","23,183.90","23,347.30","23,050.00","23,092.20","2,64,300",0,0,23163.16667,1,0
"Jan 23, 2025","23,128.30","23,270.80","23,090.65","23,205.35","2,75,600",1,0,23188.93333,1,1
"Jan 22, 2025","23,099.15","23,169.55","22,981.30","23,155.35","2,76,000",1,1,23102.06667,0,1
"Jan 21, 2025","23,421.65","23,426.30","22,976.85","23,024.65","3,12,900",0,1,23142.6,1,1
"Jan 20, 2025","23,290.40","23,391.10","23,170.65","23,344.75","3,01,500",1,1,23302.16667,1,1
"Jan 17, 2025","23,277.10","23,292.10","23,100.35","23,203.20","2,72,900",0,1,23198.55,0,0
"Jan 16, 2025","23,377.25","23,391.65","23,272.05","23,311.80","2,99,400",0,1,23325.16667,1,1
"Jan 15, 2025","23,250.45","23,293.65","23,146.45","23,213.20","2,28,000",0,1,23217.76667,0,0
"Jan 14, 2025","23,165.90","23,264.95","23,134.15","23,176.05","3,11,200",1,0,23191.71667,0,0
"Jan 13, 2025","23,195.40","23,340.95","23,047.25","23,085.95","3,16,500",0,1,23158.05,0,0
"Jan 10, 2025","23,551.90","23,596.60","23,344.35","23,431.50","2,61,000",0,1,23457.48333,1,1
"Jan 9, 2025","23,674.75","23,689.50","23,503.05","23,526.50","2,69,200",0,1,23573.01667,1,1
"Jan 8, 2025","23,746.65","23,751.85","23,496.15","23,688.95","2,66,400",0,1,23645.65,1,1
"Jan 7, 2025","23,679.90","23,795.20","23,637.80","23,707.90","2,62,300",1,0,23713.63333,1,1
"Jan 6, 2025","24,045.80","24,089.95","23,551.90","23,616.05","2,78,100",0,1,23752.63333,1,1
"Jan 3, 2025","24,196.40","24,196.45","23,976.00","24,004.75","3,12,300",0,1,24059.06667,1,1
"Jan 2, 2025","23,783.00","24,226.70","23,751.55","24,188.65","2,83,200",1,0,24055.63333,0,0
"Jan 1, 2025","23,637.65","23,822.80","23,562.80","23,742.90","1,54,900",1,0,23709.5,0,0
